"","ensembl_gene_id","ensembl_transcript_id","hgnc_symbol"
"16399","ENSG00000075142","ENST00000265729","SRI"
"16400","ENSG00000075142","ENST00000394641","SRI"
"16401","ENSG00000075142","ENST00000431660","SRI"
"16402","ENSG00000122591","ENST00000432176","FAM126A"
"16403","ENSG00000196683","ENST00000358435","TOMM7"
"16404","ENSG00000085563","ENST00000622132","ABCB1"
"16405","ENSG00000105825","ENST00000222543","TFPI2"
"16406","ENSG00000127946","ENST00000336926","HIP1"
"16407","ENSG00000127946","ENST00000434438","HIP1"
"16408","ENSG00000006453","ENST00000005260","BAIAP2L1"
"16409","ENSG00000213420","ENST00000292377","GPC2"
"16410","ENSG00000177409","ENST00000318238","SAMD9L"
"16411","ENSG00000180354","ENST00000324453","MTURN"
"16412","ENSG00000146830","ENST00000275732","GIGYF1"
"16413","ENSG00000071462","ENST00000265758","BUD23"
"16414","ENSG00000071462","ENST00000423497","BUD23"
"16415","ENSG00000106261","ENST00000324306","ZKSCAN1"
"16416","ENSG00000106261","ENST00000620510","ZKSCAN1"
"16417","ENSG00000106261","ENST00000535170","ZKSCAN1"
"16418","ENSG00000234444","ENST00000423484","ZNF736"
"16419","ENSG00000234444","ENST00000355095","ZNF736"
"16420","ENSG00000146733","ENST00000395471","PSPH"
"16421","ENSG00000197037","ENST00000394152","ZSCAN25"
"16422","ENSG00000239789","ENST00000285298","MRPS17"
"16423","ENSG00000160813","ENST00000292330","PPP1R35"
"16424","ENSG00000106290","ENST00000453269","TAF6"
"16425","ENSG00000106290","ENST00000437822","TAF6"
"16426","ENSG00000106077","ENST00000437775","ABHD11"
"16427","ENSG00000106077","ENST00000222800","ABHD11"
"16428","ENSG00000106077","ENST00000458339","ABHD11"
"16429","ENSG00000106077","ENST00000395147","ABHD11"
"16430","ENSG00000015676","ENST00000355451","NUDCD3"
"16431","ENSG00000106537","ENST00000262067","TSPAN13"
"16432","ENSG00000253293","ENST00000283921","HOXA10"
"16433","ENSG00000135211","ENST00000257663","TMEM60"
"16434","ENSG00000197093","ENST00000360039","GAL3ST4"
"16435","ENSG00000242265","ENST00000482108","PEG10"
"16436","ENSG00000242265","ENST00000488574","PEG10"
"16437","ENSG00000242265","ENST00000612748","PEG10"
"16438","ENSG00000127951","ENST00000248598","FGL2"
"16439","ENSG00000005486","ENST00000006777","RHBDD2"
"16440","ENSG00000005486","ENST00000318622","RHBDD2"
"16441","ENSG00000075223","ENST00000265361","SEMA3C"
"16442","ENSG00000075223","ENST00000419255","SEMA3C"
"16443","ENSG00000168090","ENST00000303904","COPS6"
